Current;Best
2207;2207
2610;2610
2933;2933
3326;3326
3205;3326
3423;3423
3341;3423
4299;4299
4171;4299
5154;5154
5649;5649
5759;5759
6676;6676
6889;6889
6560;6889
7783;7783
7777;7783
7490;7783
7461;7783
7708;7783
8083;8083
7727;8083
7995;8083
7842;8083
8110;8110
8884;8884
9289;9289
9600;9600
10283;10283
9996;10283
9720;10283
9906;10283
10797;10797
10794;10797
10641;10797
11105;11105
11383;11383
10940;11383
10427;11383
10114;11383
9735;11383
10367;11383
10999;11383
11393;11393
11393;11393
11422;11422
12271;12271
12511;12511
12510;12511
12426;12511
12375;12511
12815;12815
13199;13199
14018;14018
14252;14252
14267;14267
14253;14267
14763;14763
15166;15166
15639;15639
15544;15639
15563;15639
16003;16003
15856;16003
15877;16003
16390;16390
16545;16545
16274;16545
16543;16545
16640;16640
17073;17073
17131;17131
16849;17131
16594;17131
16406;17131
17045;17131
17053;17131
17023;17131
17230;17230
17573;17573
17496;17573
17322;17573
16946;17573
16781;17573
16537;17573
16344;17573
15938;17573
15900;17573
16182;17573
16158;17573
16298;17573
15942;17573
16194;17573
16630;17573
16425;17573
16217;17573
16723;17573
17361;17573
17700;17700
17486;17700
17731;17731
17252;17731
17317;17731
17223;17731
17163;17731
16982;17731
16613;17731
16648;17731
17564;17731
17608;17731
17469;17731
17272;17731
17715;17731
17701;17731
17271;17731
18302;18302
17967;18302
18040;18302
18114;18302
18068;18302
18228;18302
18118;18302
17871;18302
17814;18302
17785;18302
17677;18302
17854;18302
18102;18302
17963;18302
17544;18302
17628;18302
17174;18302
17254;18302
17250;18302
17472;18302
17180;18302
16914;18302
16796;18302
16785;18302
16945;18302
16468;18302
17395;18302
17392;18302
17396;18302
17148;18302
17588;18302
17801;18302
17729;18302
17534;18302
17712;18302
18153;18302
18366;18366
18640;18640
18514;18640
18650;18650
18108;18650
17880;18650
17773;18650
17424;18650
17940;18650
18526;18650
19140;19140
19058;19140
19974;19974
19488;19974
19031;19974
18890;19974
18655;19974
18312;19974
18543;19974
18159;19974
17711;19974
17929;19974
17849;19974
17788;19974
17331;19974
17674;19974
17579;19974
17098;19974
16940;19974
16544;19974
17372;19974
17255;19974
16837;19974
17790;19974
17455;19974
18102;19974
18083;19974
18000;19974
17624;19974
18433;19974
18675;19974
18902;19974
18827;19974
18405;19974
18644;19974
18679;19974
18957;19974
19087;19974
19235;19974
19013;19974
19005;19974
18801;19974
18625;19974
18894;19974
18903;19974
18975;19974
18722;19974
18781;19974
18922;19974
18492;19974
18727;19974
18648;19974
18466;19974
18555;19974
18338;19974
18100;19974
17626;19974
17169;19974
17428;19974
18299;19974
18104;19974
18395;19974
17918;19974
18504;19974
18965;19974
19554;19974
19353;19974
19617;19974
19484;19974
19707;19974
19636;19974
19211;19974
19474;19974
20273;20273
20271;20273
20596;20596
20295;20596
20394;20596
20217;20596
20401;20596
20857;20857
20772;20857
20729;20857
20874;20874
20525;20874
20428;20874
20875;20875
20722;20875
21021;21021
21078;21078
21150;21150
21583;21583
21289;21583
21219;21583
21218;21583
21086;21583
21132;21583
21439;21583
21174;21583
21761;21761
21508;21761
21357;21761
21385;21761
21562;21761
21524;21761
21433;21761
21545;21761
21320;21761
20914;21761
20668;21761
20961;21761
21030;21761
20598;21761
20325;21761
20325;21761
20363;21761
20293;21761
20428;21761
20611;21761
20217;21761
19978;21761
19688;21761
19378;21761
18934;21761
19069;21761
19079;21761
19035;21761
19139;21761
19164;21761
19277;21761
19559;21761
19826;21761
19356;21761
19308;21761
19983;21761
20023;21761
20035;21761
19629;21761
20041;21761
20181;21761
20099;21761
20684;21761
20551;21761
20156;21761
20247;21761
20026;21761
20224;21761
19920;21761
19985;21761
19883;21761
19985;21761
20258;21761
20193;21761
20300;21761
20061;21761
19938;21761
20829;21761
20650;21761
20337;21761
19990;21761
20026;21761
19569;21761
19444;21761
19632;21761
19865;21761
19899;21761
19744;21761
19519;21761
19231;21761
19514;21761
19856;21761
19563;21761
19630;21761
19876;21761
19610;21761
19501;21761
19100;21761
19535;21761
19508;21761
19596;21761
19415;21761
19680;21761
19593;21761
19906;21761
19711;21761
20058;21761
19979;21761
20081;21761
19604;21761
19581;21761
19248;21761
19095;21761
19216;21761
18685;21761
18626;21761
18791;21761
18101;21761
17857;21761
17437;21761
17333;21761
